"Nome";"CodAutor";"Qtd_Publicada"
"BARTHÉLEMY, Georges";75;0
"BARTHOLOMEU, Daniela Bacchi";76;0
"BASSALO, J. M";77;0
"BASSANEZI, Rodney Carlos";78;0
"BASTOS, Lília Da Rocha";79;0
"BATEMAN,  Thomas  S";80;0
"BATISTA, Emerson De Oliveira";81;0
"BATSCHELET, Edward";82;0
"BAUER,  L.  A.  Falcío";83;0
"BAUER, Christian";84;0
"BAUER, W";85;0
"BAZZO, Walter Antonio";86;0
"BECKER, Bertha K";87;0
"BELOUSOV, V. V.";88;0
"BELTRÃO,  Jane  Felipe";89;0
"BELTRÃO, Jimena Felipe";90;0
"BENITE, Anderson Glauco";91;0
"BENJAMIN, Walter";92;0
"BENNETT, C. O";93;0
"BENSAUDE-VINCENT, Bernadette";94;0
"Benson, Phil";95;0
"BENYON, David";96;0
"BEQUETTE, B. Wayne";97;0
"BERGAMASCO, Sônia Maria";98;0
"BERNARDI, Luiz Antonio";99;0
"BERNUCCI, Liedi Légi Bariani";100;0
"BERTALANFFY, Ludwig Von";101;0
"BERTUCCI, Janete Lara De Oliveira";102;0
"BEST, Myron G.";103;0
"BEZERRA, Eduardo";104;0
"BHATTACHARYA, P. B";105;0
"BICUDO, Maria Aparecida Viggiani";106;0
"JACINTO, Cristiane Pinheiro Santos";162;0
"JACKSON, John David";163;0
"JANKAUSKIS, Juris";164;0
"JANNUZZI, Gilberta";165;0
"JARDINE, A. K. S";166;0
"JATENE, Simão Robison";167;0
"JEWETT, John W";168;0
"John C. Kotz, Paul M. Treichel, Gabriela C. Weaver";169;0
"JOHNSON, George";170;0
"JOLY, Fernand";171;0
"JONES, Edward";172;0
"JURAN, J. M.";173;0
"JUSTI, Alexander Rodrigues";174;0
"JUVINALL, Robert C";175;0
"LIMA, Elon Lages";158;0
"LIMA, José Moura";159;0
"LIMA, Manolita Correia";160;0
"LIMA, Silvio De Souza";161;0
"MACINTYRE, Archibald Joseph";156;0
"MACKENZIE, W. S";157;0
"MAIA, Nelson B.";154;0
"MAIO, Waldemar De";155;0
"MARX, Karl";151;0
"MASON, Brian Harold";152;0
"MATEUS, Alfredo Luis";153;0
"MUNIZ, Cristiano Alberto";144;0
"NACARATO, Adair Mendes";145;0
"NADER, Paulo";146;0
"NAGLE, R. Kent";147;0
"NAHVI, Mahmood";148;0
"NAKAMURA, Emilio Tissato";149;0
"NARDI, Roberto";150;0
"NESSE, William D.";141;0
"NEVES, David Pereira";142;0
"NEVES, Delma Pessanha";143;0
"PACHECO,  Peter  S.";134;0
"PACHECO, Pablo";135;0
"PADILHA, Angelo Fernando";136;0
"PAES, J. Lima.";137;0
"PAGGIOLI, Sergio Rocha";138;0
"PAGIOLA, Stefano";139;0
"PAGLIA, Adriano Pereira";140;0
"PEREIRA, Geraldo Magela";132;0
"PEREIRA, José Almir Rodrigues";133;0
"REITZ, John R";128;0
"RENAUD, Paul E.";129;0
"RESENDE, Rosangela Maria Simeão";130;0
"RESNICK, Robert";131;0
"SILBERSCHATZ, Abraham";122;0
"SILVA,  Naura  Syria  Ferreira  Corrêa  Da";123;0
"SILVA,  Nelson  Peres  Da";124;0
"SILVA,  Valdir  Vilmar  Da";125;0
"SILVA, André Luiz V. Da Costa E";126;0
"SILVA, Cassio Roberto Da";127;0
"VAHID, Frank";113;0
"VAINSENCHER,  Israel";114;0
"VAITSMAN, Enilce Pereira";115;0
"VALENTE, Wagner Rodrigues";116;0
"VALERIANO, Dalton L.";117;0
"VALLADARES, Renato Jose Da Costa";118;0
"VALLE,  José  Ângelo  Santos  Do";119;0
"VAN LENGEN, Johan";120;0
"VAN VALKENBURGH, NOOGER & NEVILLE";121;0
"YOUNG, Hungh D";109;0
"YOURDON,  Edward";110;0
"YUS, Rafael";111;0
"ZABALA, Anton";112;0
"ZIVIANI, Nivio";107;0
"ZUBRICK, James W.";108;0
